area,reg,totale_popolazione
ABR,Abruzzo,20000
BAS,Basilicata,21594
CAL,Calabria,38000
CAM,Campania,51905
EMR,Emilia-Romagna,53217
FVG,Friuli-Venezia Giulia,14836
LAZ,Lazio,75000
LIG,Liguria,8503
LOM,Lombardia,194521
MAR,Marche,18000
MOL,Molise,7055
PAB,P.A. Bolzano,5240
PAT,P.A. Trento,8500
PIE,Piemonte,52911
PUG,Puglia,55181
SAR,Sardegna,15000
SIC,Sicilia,33040
TOS,Toscana,35000
UMB,Umbria,10922
VDA,Valle d'Aosta,800
VEN,Veneto,72151
