data,area,totale,m,f,d,N1,N2,ISTAT,reg
2024-10-25,TOS,2636,1216,1420,2636,ITI,ITI1,9,Toscana
2024-11-21,PAT,339,154,185,339,ITH,ITH2,4,Provincia Autonoma Trento
2024-10-18,ABR,72,44,28,72,ITF,ITF1,13,Abruzzo
2024-12-12,PAT,40,21,19,40,ITH,ITH2,4,Provincia Autonoma Trento
2024-10-22,PUG,405,216,189,405,ITF,ITF4,16,Puglia
2024-12-28,FVG,1,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2025-03-03,SIC,4,2,2,4,ITG,ITG1,19,Sicilia
2025-05-29,LAZ,2,1,1,2,ITI,ITI4,12,Lazio
2025-03-26,EMR,8,3,5,8,ITH,ITH5,8,Emilia-Romagna
2024-11-25,LOM,4016,1886,2130,4016,ITC,ITC4,3,Lombardia
2024-11-04,PAB,221,111,110,221,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-10-16,UMB,24,13,11,24,ITI,ITI2,10,Umbria
2024-11-19,TOS,1648,766,882,1648,ITI,ITI1,9,Toscana
2025-01-13,TOS,46,25,21,46,ITI,ITI1,9,Toscana
2024-11-23,PIE,676,357,319,676,ITC,ITC1,1,Piemonte
2025-01-14,MAR,16,9,7,16,ITI,ITI3,11,Marche
2024-12-04,BAS,75,45,30,75,ITF,ITF5,17,Basilicata
2024-11-08,TOS,2886,1403,1483,2886,ITI,ITI1,9,Toscana
2025-01-04,TOS,3,1,2,3,ITI,ITI1,9,Toscana
2024-12-03,LAZ,806,377,429,806,ITI,ITI4,12,Lazio
2025-04-15,LOM,5,3,2,5,ITC,ITC4,3,Lombardia
2024-11-11,SIC,120,69,51,120,ITG,ITG1,19,Sicilia
2024-09-25,LIG,27,17,10,27,ITC,ITC3,7,Liguria
2024-11-05,CAL,51,29,22,51,ITF,ITF6,18,Calabria
2025-03-15,VEN,56,31,25,56,ITH,ITH3,5,Veneto
2024-12-05,ABR,99,54,45,99,ITF,ITF1,13,Abruzzo
2024-12-19,PAT,81,36,45,81,ITH,ITH2,4,Provincia Autonoma Trento
2024-10-17,PAB,464,243,221,464,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-01-08,FVG,33,15,18,33,ITH,ITH4,6,Friuli-Venezia Giulia
2024-11-20,CAM,172,99,73,172,ITF,ITF3,15,Campania
2024-12-08,EMR,100,43,57,100,ITH,ITH5,8,Emilia-Romagna
2024-10-14,VDA,68,31,37,68,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-10-29,LOM,13,5,8,13,ITC,ITC4,3,Lombardia
2024-12-15,LAZ,12,6,6,12,ITI,ITI4,12,Lazio
2024-12-10,PIE,694,332,362,694,ITC,ITC1,1,Piemonte
2024-10-13,EMR,59,21,38,59,ITH,ITH5,8,Emilia-Romagna
2025-06-06,EMR,3,1,2,3,ITH,ITH5,8,Emilia-Romagna
2024-12-19,VEN,398,186,212,398,ITH,ITH3,5,Veneto
2025-01-17,SIC,25,12,13,25,ITG,ITG1,19,Sicilia
2024-11-10,PUG,33,16,17,33,ITF,ITF4,16,Puglia
2024-12-17,LAZ,516,250,266,516,ITI,ITI4,12,Lazio
2025-02-10,LAZ,17,8,9,17,ITI,ITI4,12,Lazio
2025-01-29,MAR,16,7,9,16,ITI,ITI3,11,Marche
2024-11-19,PUG,879,433,446,879,ITF,ITF4,16,Puglia
2024-11-15,LIG,574,265,309,574,ITC,ITC3,7,Liguria
2025-01-03,PIE,78,39,39,78,ITC,ITC1,1,Piemonte
2025-02-21,VEN,31,3,28,31,ITH,ITH3,5,Veneto
2025-05-08,SIC,2,2,0,2,ITG,ITG1,19,Sicilia
2024-10-30,EMR,6224,2916,3308,6224,ITH,ITH5,8,Emilia-Romagna
2025-02-24,LOM,54,30,24,54,ITC,ITC4,3,Lombardia
2024-12-02,PUG,384,198,186,384,ITF,ITF4,16,Puglia
2024-10-19,PIE,349,161,188,349,ITC,ITC1,1,Piemonte
2025-10-22,UMB,13,4,9,13,ITI,ITI2,10,Umbria
2025-02-19,LIG,35,15,20,35,ITC,ITC3,7,Liguria
2024-11-07,SIC,141,78,63,141,ITG,ITG1,19,Sicilia
2024-12-09,PAT,83,30,53,83,ITH,ITH2,4,Provincia Autonoma Trento
2024-12-10,BAS,30,15,15,30,ITF,ITF5,17,Basilicata
2024-10-29,PUG,655,354,301,655,ITF,ITF4,16,Puglia
2024-11-30,CAL,26,11,15,26,ITF,ITF6,18,Calabria
2024-12-30,SIC,20,11,9,20,ITG,ITG1,19,Sicilia
2024-12-23,LIG,189,83,106,189,ITC,ITC3,7,Liguria
2024-10-15,LIG,450,252,198,450,ITC,ITC3,7,Liguria
2024-11-04,EMR,3043,1424,1619,3043,ITH,ITH5,8,Emilia-Romagna
2025-01-08,CAL,15,9,6,15,ITF,ITF6,18,Calabria
2024-10-09,SIC,6,5,1,6,ITG,ITG1,19,Sicilia
2024-11-17,EMR,307,147,160,307,ITH,ITH5,8,Emilia-Romagna
2024-10-31,PAT,284,130,154,284,ITH,ITH2,4,Provincia Autonoma Trento
2025-02-21,EMR,48,23,25,48,ITH,ITH5,8,Emilia-Romagna
2024-10-08,VEN,421,201,220,421,ITH,ITH3,5,Veneto
2024-11-29,MOL,2,2,0,2,ITF,ITF2,14,Molise
2025-09-18,LOM,30,14,16,30,ITC,ITC4,3,Lombardia
2024-12-01,UMB,6,2,4,6,ITI,ITI2,10,Umbria
2025-03-03,VEN,3,1,2,3,ITH,ITH3,5,Veneto
2025-01-29,TOS,21,9,12,21,ITI,ITI1,9,Toscana
2025-03-29,PIE,6,2,4,6,ITC,ITC1,1,Piemonte
2025-04-14,EMR,10,1,9,10,ITH,ITH5,8,Emilia-Romagna
2025-01-21,LAZ,55,29,26,55,ITI,ITI4,12,Lazio
2025-02-05,PAT,1,1,0,1,ITH,ITH2,4,Provincia Autonoma Trento
2025-11-10,UMB,12,6,6,12,ITI,ITI2,10,Umbria
2025-02-25,LAZ,8,6,2,8,ITI,ITI4,12,Lazio
2025-06-09,SIC,1,1,0,1,ITG,ITG1,19,Sicilia
2025-02-07,PUG,7,3,4,7,ITF,ITF4,16,Puglia
2025-11-06,SIC,1,0,1,1,ITG,ITG1,19,Sicilia
2024-10-09,VDA,47,26,21,47,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-02-10,TOS,14,4,10,14,ITI,ITI1,9,Toscana
2025-10-14,TOS,12,7,5,12,ITI,ITI1,9,Toscana
2025-09-19,LOM,17,12,5,17,ITC,ITC4,3,Lombardia
2024-10-03,VEN,8,2,6,8,ITH,ITH3,5,Veneto
2025-07-09,MAR,2,1,1,2,ITI,ITI3,11,Marche
2025-11-06,VDA,6,3,3,6,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-12-06,TOS,2,1,1,2,ITI,ITI1,9,Toscana
2025-02-14,BAS,2,1,1,2,ITF,ITF5,17,Basilicata
2025-03-06,PUG,3,0,3,3,ITF,ITF4,16,Puglia
2025-11-26,VEN,1,1,0,1,ITH,ITH3,5,Veneto
2025-02-12,MAR,1,0,1,1,ITI,ITI3,11,Marche
2024-10-20,PIE,6,2,4,6,ITC,ITC1,1,Piemonte
2025-04-07,BAS,2,0,2,2,ITF,ITF5,17,Basilicata
2025-05-19,FVG,1,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2024-09-26,LIG,7,2,5,7,ITC,ITC3,7,Liguria
2025-02-01,EMR,1,1,0,1,ITH,ITH5,8,Emilia-Romagna
2025-12-02,MAR,1,1,0,1,ITI,ITI3,11,Marche
2025-03-18,ABR,1,0,1,1,ITF,ITF1,13,Abruzzo
2025-05-24,LOM,1,1,0,1,ITC,ITC4,3,Lombardia
2025-01-15,LOM,296,100,196,296,ITC,ITC4,3,Lombardia
2024-11-20,BAS,41,22,19,41,ITF,ITF5,17,Basilicata
2025-01-30,PIE,67,22,45,67,ITC,ITC1,1,Piemonte
2024-12-16,PUG,210,108,102,210,ITF,ITF4,16,Puglia
2024-12-19,PIE,457,195,262,457,ITC,ITC1,1,Piemonte
