area,nome_area,fascia_anagrafica,totale_popolazione
VDA,Valle d'Aosta,70-79,13030
VDA,Valle d'Aosta,80+,9751
VEN,Veneto,12-19,381274
VEN,Veneto,20-29,479355
VEN,Veneto,30-39,525221
VEN,Veneto,40-49,717331
VEN,Veneto,50-59,806474
VEN,Veneto,60-69,610635
VEN,Veneto,70-79,494721
VEN,Veneto,80+,368984
