data,area,totale,m,f,d,N1,N2,ISTAT,reg
2025-11-28,FVG,502,234,268,502,ITH,ITH4,6,Friuli-Venezia Giulia
2025-10-17,MAR,425,212,213,425,ITI,ITI3,11,Marche
2025-10-29,CAM,112,70,42,112,ITF,ITF3,15,Campania
2025-11-11,FVG,873,395,478,873,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-16,PAT,56,25,31,56,ITH,ITH2,4,Provincia Autonoma Trento
2026-01-15,SIC,8,5,3,8,ITG,ITG1,19,Sicilia
2025-10-30,MAR,687,337,350,687,ITI,ITI3,11,Marche
2025-11-21,SIC,126,62,64,126,ITG,ITG1,19,Sicilia
2025-11-13,VEN,2621,1241,1380,2621,ITH,ITH3,5,Veneto
2025-11-10,PIE,1282,613,669,1282,ITC,ITC1,1,Piemonte
2025-12-04,VEN,661,318,343,661,ITH,ITH3,5,Veneto
2025-11-04,SIC,148,87,61,148,ITG,ITG1,19,Sicilia
2025-12-11,TOS,307,139,168,307,ITI,ITI1,9,Toscana
2025-12-16,PUG,175,82,93,175,ITF,ITF4,16,Puglia
2025-10-13,MAR,136,71,65,136,ITI,ITI3,11,Marche
2026-02-16,UMB,2,2,0,2,ITI,ITI2,10,Umbria
2025-11-08,CAL,19,9,10,19,ITF,ITF6,18,Calabria
2026-02-12,TOS,8,3,5,8,ITI,ITI1,9,Toscana
2025-11-07,TOS,1816,861,955,1816,ITI,ITI1,9,Toscana
2025-11-07,PAB,321,144,177,321,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-11-20,PAT,291,125,166,291,ITH,ITH2,4,Provincia Autonoma Trento
2025-12-04,PAT,292,122,170,292,ITH,ITH2,4,Provincia Autonoma Trento
2025-12-11,PAB,93,43,50,93,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2026-01-14,CAM,11,2,9,11,ITF,ITF3,15,Campania
2025-12-16,VEN,374,148,226,374,ITH,ITH3,5,Veneto
2025-12-19,MAR,62,35,27,62,ITI,ITI3,11,Marche
2025-10-18,LOM,7767,3883,3884,7767,ITC,ITC4,3,Lombardia
2025-11-27,CAM,65,35,30,65,ITF,ITF3,15,Campania
2025-11-20,PUG,551,275,276,551,ITF,ITF4,16,Puglia
2025-11-20,FVG,685,310,375,685,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-03,SIC,122,67,55,122,ITG,ITG1,19,Sicilia
2026-01-23,LOM,117,51,66,117,ITC,ITC4,3,Lombardia
2025-11-29,MAR,24,6,18,24,ITI,ITI3,11,Marche
2026-01-24,EMR,2,1,1,2,ITH,ITH5,8,Emilia-Romagna
2025-11-12,FVG,737,322,415,737,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-18,TOS,187,89,98,187,ITI,ITI1,9,Toscana
2025-11-22,PIE,715,347,368,715,ITC,ITC1,1,Piemonte
2025-11-20,VEN,1830,873,957,1830,ITH,ITH3,5,Veneto
2025-11-15,PUG,112,57,55,112,ITF,ITF4,16,Puglia
2025-10-23,SIC,64,39,25,64,ITG,ITG1,19,Sicilia
2026-01-14,PIE,55,22,33,55,ITC,ITC1,1,Piemonte
2026-01-31,PIE,32,19,13,32,ITC,ITC1,1,Piemonte
2025-12-04,SAR,207,98,109,207,ITG,ITG2,20,Sardegna
2025-10-09,VEN,141,73,68,141,ITH,ITH3,5,Veneto
2025-11-15,CAL,30,18,12,30,ITF,ITF6,18,Calabria
2025-11-26,LAZ,1108,510,598,1108,ITI,ITI4,12,Lazio
2025-10-08,PUG,37,21,16,37,ITF,ITF4,16,Puglia
2026-01-07,LOM,119,45,74,119,ITC,ITC4,3,Lombardia
2026-02-17,LOM,42,10,32,42,ITC,ITC4,3,Lombardia
2026-01-10,LAZ,9,5,4,9,ITI,ITI4,12,Lazio
2025-10-21,CAL,36,24,12,36,ITF,ITF6,18,Calabria
2025-11-06,EMR,5965,2823,3142,5965,ITH,ITH5,8,Emilia-Romagna
2025-12-23,LOM,370,163,207,370,ITC,ITC4,3,Lombardia
2026-01-09,LAZ,26,14,12,26,ITI,ITI4,12,Lazio
2025-12-30,PUG,33,16,17,33,ITF,ITF4,16,Puglia
2025-12-21,LOM,15,5,10,15,ITC,ITC4,3,Lombardia
2026-03-14,PIE,2,1,1,2,ITC,ITC1,1,Piemonte
2025-11-08,VEN,2159,1092,1067,2159,ITH,ITH3,5,Veneto
2025-12-20,VEN,298,150,148,298,ITH,ITH3,5,Veneto
2025-11-24,FVG,304,130,174,304,ITH,ITH4,6,Friuli-Venezia Giulia
2025-11-27,LIG,142,62,80,142,ITC,ITC3,7,Liguria
2025-10-20,CAL,24,16,8,24,ITF,ITF6,18,Calabria
2025-11-08,SAR,54,35,19,54,ITG,ITG2,20,Sardegna
2025-11-06,LOM,7684,3409,4275,7684,ITC,ITC4,3,Lombardia
2026-01-27,EMR,76,31,45,76,ITH,ITH5,8,Emilia-Romagna
2026-01-04,LIG,2,0,2,2,ITC,ITC3,7,Liguria
2026-02-18,PIE,6,4,2,6,ITC,ITC1,1,Piemonte
2025-10-24,SIC,94,54,40,94,ITG,ITG1,19,Sicilia
2025-10-20,VEN,682,327,355,682,ITH,ITH3,5,Veneto
2025-11-20,SAR,412,210,202,412,ITG,ITG2,20,Sardegna
2026-02-03,LIG,25,4,21,25,ITC,ITC3,7,Liguria
2025-10-28,PAT,370,181,189,370,ITH,ITH2,4,Provincia Autonoma Trento
2025-10-15,CAL,14,6,8,14,ITF,ITF6,18,Calabria
2025-10-13,VDA,46,23,23,46,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2025-12-12,EMR,780,363,417,780,ITH,ITH5,8,Emilia-Romagna
2025-11-28,LOM,2782,1257,1525,2782,ITC,ITC4,3,Lombardia
2025-11-03,LAZ,873,455,418,873,ITI,ITI4,12,Lazio
2025-10-14,LAZ,166,100,66,166,ITI,ITI4,12,Lazio
2025-11-22,TOS,273,135,138,273,ITI,ITI1,9,Toscana
2025-12-16,SAR,102,53,49,102,ITG,ITG2,20,Sardegna
2025-12-10,SIC,55,25,30,55,ITG,ITG1,19,Sicilia
2025-12-31,ABR,21,10,11,21,ITF,ITF1,13,Abruzzo
2025-10-15,VEN,751,371,380,751,ITH,ITH3,5,Veneto
2025-10-19,PIE,26,15,11,26,ITC,ITC1,1,Piemonte
2026-02-23,PIE,3,2,1,3,ITC,ITC1,1,Piemonte
2025-11-23,MAR,6,2,4,6,ITI,ITI3,11,Marche
2025-10-22,FVG,591,303,288,591,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-19,PAT,157,49,108,157,ITH,ITH2,4,Provincia Autonoma Trento
2026-01-13,LIG,28,12,16,28,ITC,ITC3,7,Liguria
2025-10-18,FVG,387,183,204,387,ITH,ITH4,6,Friuli-Venezia Giulia
2025-12-06,PUG,31,9,22,31,ITF,ITF4,16,Puglia
2025-11-13,SAR,375,202,173,375,ITG,ITG2,20,Sardegna
2026-02-16,EMR,7,6,1,7,ITH,ITH5,8,Emilia-Romagna
2025-12-16,FVG,80,34,46,80,ITH,ITH4,6,Friuli-Venezia Giulia
2026-01-13,PAB,4,2,2,4,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-11-25,EMR,2799,1298,1501,2799,ITH,ITH5,8,Emilia-Romagna
2025-12-24,TOS,25,9,16,25,ITI,ITI1,9,Toscana
2026-01-14,LIG,27,11,16,27,ITC,ITC3,7,Liguria
2025-12-03,LAZ,773,396,377,773,ITI,ITI4,12,Lazio
2026-01-09,SIC,18,10,8,18,ITG,ITG1,19,Sicilia
2026-01-12,FVG,9,6,3,9,ITH,ITH4,6,Friuli-Venezia Giulia
2026-01-10,SIC,3,2,1,3,ITG,ITG1,19,Sicilia
2025-11-15,VEN,1869,944,925,1869,ITH,ITH3,5,Veneto
2025-10-16,EMR,2775,1353,1422,2775,ITH,ITH5,8,Emilia-Romagna
2025-10-24,LAZ,430,224,206,430,ITI,ITI4,12,Lazio
2025-10-23,LAZ,523,268,255,523,ITI,ITI4,12,Lazio
2025-10-21,LOM,10987,5330,5657,10987,ITC,ITC4,3,Lombardia
2026-01-21,EMR,93,37,56,93,ITH,ITH5,8,Emilia-Romagna
2026-01-23,LIG,4,1,3,4,ITC,ITC3,7,Liguria
2026-01-22,TOS,20,10,10,20,ITI,ITI1,9,Toscana
2025-10-11,VDA,7,5,2,7,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2026-01-27,ABR,2,1,1,2,ITF,ITF1,13,Abruzzo
2026-03-10,PUG,2,0,2,2,ITF,ITF4,16,Puglia
2025-11-12,CAL,30,16,14,30,ITF,ITF6,18,Calabria
2025-11-17,VEN,1392,611,781,1392,ITH,ITH3,5,Veneto
2025-12-09,SAR,227,112,115,227,ITG,ITG2,20,Sardegna
2025-11-18,EMR,3999,1911,2088,3999,ITH,ITH5,8,Emilia-Romagna
2025-12-03,LIG,230,112,118,230,ITC,ITC3,7,Liguria
2025-11-29,CAL,11,6,5,11,ITF,ITF6,18,Calabria
2026-01-23,PUG,22,12,10,22,ITF,ITF4,16,Puglia
2025-12-18,PIE,278,145,133,278,ITC,ITC1,1,Piemonte
2025-11-10,UMB,120,56,64,120,ITI,ITI2,10,Umbria
2025-10-21,FVG,427,213,214,427,ITH,ITH4,6,Friuli-Venezia Giulia
2026-02-17,PUG,5,4,1,5,ITF,ITF4,16,Puglia
2025-11-04,PAT,25,12,13,25,ITH,ITH2,4,Provincia Autonoma Trento
2026-02-13,LIG,10,5,5,10,ITC,ITC3,7,Liguria
2025-11-26,VEN,1252,547,705,1252,ITH,ITH3,5,Veneto
2025-10-30,SIC,167,86,81,167,ITG,ITG1,19,Sicilia
2025-12-01,LAZ,579,296,283,579,ITI,ITI4,12,Lazio
2025-10-26,MAR,47,24,23,47,ITI,ITI3,11,Marche
2025-10-06,VEN,12,6,6,12,ITH,ITH3,5,Veneto
2025-10-28,UMB,149,77,72,149,ITI,ITI2,10,Umbria
2025-10-17,PAT,256,135,121,256,ITH,ITH2,4,Provincia Autonoma Trento
2026-02-17,PAT,3,2,1,3,ITH,ITH2,4,Provincia Autonoma Trento
2025-12-30,VEN,164,56,108,164,ITH,ITH3,5,Veneto
2025-11-27,FVG,477,199,278,477,ITH,ITH4,6,Friuli-Venezia Giulia
2026-01-03,EMR,6,3,3,6,ITH,ITH5,8,Emilia-Romagna
2025-10-16,UMB,97,48,49,97,ITI,ITI2,10,Umbria
2026-02-09,VEN,3,1,2,3,ITH,ITH3,5,Veneto
2025-11-08,MAR,258,133,125,258,ITI,ITI3,11,Marche
2025-12-10,UMB,47,24,23,47,ITI,ITI2,10,Umbria
2025-10-17,PUG,337,176,161,337,ITF,ITF4,16,Puglia
2025-11-28,PAB,18,4,14,18,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2025-11-17,EMR,2892,1364,1528,2892,ITH,ITH5,8,Emilia-Romagna
2025-11-22,SIC,33,19,14,33,ITG,ITG1,19,Sicilia
